Name,Type,Description,Visible,Title,Importance,Lens id,Journal,Date,Node size,Link
111-1.23,New,3-1.23,,The Impact of COVID-19 on Radiology Trainees,1.23,064-522-912-524-932,Radiology,2020-03-29,12.3,
11-1.59,New,2-1.59,,"Radiological Society of North America Expert Consensus Statement on                     Reporting Chest CT Findings Related to COVID-19. Endorsed by the Society of                     Thoracic Radiology, the American College of Radiology, and RSNA.",1.59,008-414-334-467-980,Radiology: Cardiothoracic Imaging,2020-03-28,15.9,
112-1.01,New,4-1.01,,Potential Effects of Coronaviruses on the Cardiovascular System,1.01,003-052-408-102-208,JAMA Cardiology,2020-03-29,10.1,
113-0.86,New,5-0.86,,Covid-19: risk factors for severe disease and death,0.86,008-537-158-868-338,BMJ,2020-03-29,8.6,
114-0.81,New,6-0.81,,Internet hospitals help prevent and control the epidemic of COVID-19 in China: a multicenter user profiling study (Preprint),0.81,106-468-328-231-644,,2020-03-29,8.1,
115-0.8,Old,7-0.8,,Middle East Respiratory Syndrome Coronavirus: Another Zoonotic Betacoronavirus Causing SARS-Like Disease,0.8,056-486-289-590-464,Clinical Microbiology Reviews,2018-05-12,8.0,
116-0.63,New,8-0.63,,"Coronavirus: Symptoms, diagnosis, treatment and prevention (Preprint)",0.63,044-217-872-481-969,,2020-03-29,6.3,
117-0.59,New,9-0.59,,The Importance of Addressing Advance Care Planning and Decisions About Do-Not-Resuscitate Orders During Novel Coronavirus 2019 (COVID-19),0.59,110-036-168-210-398,JAMA,2020-03-29,5.9,
118-0.57,New,10-0.57,,The Role of Emergency Radiology in COVID-19: From Preparedness to Diagnosis,0.57,024-049-393-090-535,Canadian Association of Radiologists Journal,2020-03-29,5.7,
1-1.87,New,1-1.87,,Frequency and Distribution of Chest Radiographic Findings in COVID-19                     Positive Patients,1.87,050-425-192-041-584,Radiology,2020-03-29,18.7,
119-0.57,Old,11-0.57,,Molecular diversity of coronaviruses in bats,0.57,060-501-577-846-679,Virology,2018-05-12,5.7,
120-0.49,New,12-0.49,,Clinical characteristics of 113 deceased patients with coronavirus disease 2019: retrospective study,0.49,102-092-559-762-655,BMJ,2020-03-29,4.9,
121-0.45,New,13-0.45,,Turbulent Gas Clouds and Respiratory Pathogen Emissions,0.45,053-894-370-041-730,JAMA,2020-03-28,4.5,
122-0.43,Old,14-0.43,,Isolation of a novel coronavirus from a man with pneumonia in Saudi Arabia,0.43,023-671-383-084-282,The New England Journal of Medicine,2018-05-11,4.3,
123-0.43,New,15-0.43,,Peri-operative and critical care concerns in coronavirus pandemic,0.43,197-959-359-730-996,Indian Journal of Anaesthesia,2020-03-30,4.3,
124-0.42,New,16-0.42,,Using rapid online surveys to assess perceptions during infectious disease outbreaks: a cross-sectional survey on Covid-19 among the general public in the United States and United Kingdom (Preprint),0.42,145-082-742-767-949,Journal of Medical Internet Research,2020-03-29,4.2,
125-0.4,New,17-0.4,,Cardiac Involvement in a Patient With Coronavirus Disease 2019 (COVID-19),0.4,103-879-856-404-796,JAMA Cardiology,2020-03-29,4.0,
126-0.39,Old,18-0.39,,"A Novel Coronavirus from Patients with Pneumonia in China, 2019",0.39,011-720-951-980-353,The New England Journal of Medicine,2020-01-26,3.9,
127-0.39,New,19-0.39,,On the Frontline of the COVID-19 Outbreak,0.39,045-054-213-099-160,Clinical Journal of the American Society of Nephrology,2020-03-30,3.9,
128-0.39,Old,20-0.39,,Coronaviruses and the human airway: a universal system for virus-host interaction studies,0.39,043-145-118-781-736,Virology Journal,2018-05-12,3.9,
129-0.37,New,21-0.37,,Suggestions on Improving the Hand Hygiene for the Prevention and Control Personnel during the Novel Coronavirus (COVID-19) Epidemic Outbreak,0.37,164-056-902-545-385,Service Science and Management,2020-03-28,3.7,
130-0.34,Old,22-0.34,,Host-directed therapies for improving poor treatment outcomes associated with the middle east respiratory syndrome coronavirus infections,0.34,012-127-185-744-309,International Journal of Infectious Diseases,2018-05-12,3.4,
131-0.33,Old,23-0.33,,Identification of Severe Acute Respiratory Syndrome in Canada,0.33,048-318-297-371-12X,The New England Journal of Medicine,2018-05-12,3.3,
132-0.33,Old,24-0.33,,A novel coronavirus associated with severe acute respiratory syndrome.,0.33,043-391-337-502-219,The New England Journal of Medicine,2018-05-12,3.3,
133-0.31,Old,25-0.31,,Clinical features and viral diagnosis of two cases of infection with Middle East Respiratory Syndrome coronavirus: a report of nosocomial transmission,0.31,031-810-638-617-640,The Lancet,2018-05-12,3.1,
134-0.29,New,26-0.29,,The effect of human mobility and control measures on the COVID-19 epidemic in China,0.29,031-883-225-563-477,Science,2020-03-28,2.9,
135-0.28,New,27-0.28,,Psychiatric Aspects of Coronavirus (2019-nCoV) Infection,0.28,077-798-648-024-232,Iranian Journal of Psychiatry and Behavioral Sciences,2020-03-27,2.8,
136-0.28,Old,28-0.28,,Middle East respiratory syndrome coronavirus: Implications for health care facilities,0.28,073-523-847-978-786,American Journal of Infection Control,2018-05-12,2.8,
137-0.27,New,29-0.27,,A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster,0.27,006-185-699-645-541,The Lancet,2020-01-26,2.7,
138-0.27,New,30-0.27,,Covid-19: a remote assessment in primary care,0.27,022-980-392-295-105,BMJ,2020-03-29,2.7,
139-0.27,Old,31-0.27,,"Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus-Infected Pneumonia in Wuhan, China",0.27,038-116-875-675-064,JAMA,2020-02-09,2.7,0.0
140-0.26,Old,32-0.26,,Full-genome Deep Sequencing and Phylogenetic Analysis of Novel Human Betacoronavirus,0.26,030-206-317-283-136,Emerging Infectious Diseases,2018-05-12,2.6,
141-0.25,New,33-0.25,,Controversies about COVID-19 and anticancer treatment with immune checkpoint inhibitors,0.25,119-389-021-199-092,Immunotherapy,2020-03-28,2.5,
142-0.24,Old,34-0.24,,Identification of a novel coronavirus in patients with severe acute respiratory syndrome,0.24,012-113-809-211-723,The New England Journal of Medicine,2018-05-12,2.4,
143-0.24,Old,35-0.24,,Middle East Respiratory Syndrome Coronavirus (MERS-CoV) origin and animal reservoir,0.24,104-650-355-294-892,Virology Journal,2018-05-12,2.4,
