Date,Dia,Acumulado
2020-01-17,2,2
2020-01-19,1,3
2020-01-23,2,5
2020-01-24,1,6
2020-01-25,2,8
2020-01-26,2,10
2020-01-28,7,17
2020-01-29,2,19
2020-01-30,10,29
2020-01-31,7,36
2020-02-01,8,44
2020-02-02,3,47
2020-02-03,6,53
2020-02-06,29,82
2020-02-07,11,93
2020-02-08,15,108
2020-02-09,13,121
2020-02-10,10,131
2020-02-11,5,136
2020-02-12,7,143
2020-02-13,21,164
2020-02-14,17,181
2020-02-15,17,198
2020-02-16,8,206
2020-02-18,16,222
2020-02-19,7,229
2020-02-20,20,249
2020-02-23,61,310
2020-02-24,12,322
2020-02-25,13,335
2020-02-26,21,356
2020-02-27,21,377
2020-02-28,30,407
2020-02-29,29,436
2020-03-01,20,456
2020-03-03,55,511
2020-03-04,49,560
2020-03-05,26,586
2020-03-07,76,662
2020-03-08,28,690
2020-03-09,14,704
2020-03-10,33,737
2020-03-11,34,771
2020-03-12,38,809
2020-03-13,38,847
2020-03-14,59,906
2020-03-15,34,940
2020-03-17,73,1013
2020-03-18,56,1069
2020-03-19,58,1127
2020-03-20,48,1175
2020-03-21,86,1261
2020-03-22,50,1311
2020-03-23,27,1338
2020-03-24,66,1404
2020-03-25,73,1477
2020-03-26,13,1490
2020-03-27,74,1564
2020-03-28,77,1641
2020-03-29,107,1748
2020-03-30,85,1833
2020-03-31,51,1884
2020-04-01,123,2007
2020-04-02,123,2130
2020-04-03,256,2386
2020-04-04,166,2552
2020-04-05,114,2666
2020-04-06,50,2716
2020-04-07,141,2857
2020-04-08,152,3009
2020-04-09,182,3191
2020-04-10,193,3384
2020-04-11,158,3542
2020-04-12,106,3648
2020-04-13,75,3723
2020-04-14,261,3984
2020-04-15,196,4180
2020-04-16,311,4491
